time,rpm,tps,water,a/f
05:08.9,5412,73,92,12.41825
05:09.0,5857,73,92,11.75825
05:09.1,6833,69,92,14.379
05:09.2,7335,68,92,13.5045
05:09.3,7687,68,93,15.03625
05:09.4,7864,63,93,14.7145
05:09.5,8415,62,93,16.0015
05:09.6,8002,11,93,16.821
05:09.7,6939,12,93,19.615
05:09.8,6032,12,93,20.45925
05:09.9,5967,13,93,20.957
05:10.0,5894,17,93,19.65625
05:10.1,5422,17,93,20.044
05:10.2,5192,20,93,18.32525
05:10.3,5208,20,93,19.8845
05:10.4,5018,13,93,16.7
05:10.5,4939,11,93,13.9335
05:10.6,4766,11,93,16.2435
05:10.7,4781,11,93,17.41225
05:10.8,4726,13,93,16.68625
05:10.9,4832,24,93,16.634
05:11.0,5289,39,93,14.2305
05:11.1,5526,39,93,11.651
05:11.2,5647,45,93,11.16975
05:11.3,6147,24,93,13.0755
05:11.4,5950,34,93,13.1965
05:11.5,6764,22,93,13.719
05:11.6,6294,20,93,12.135
05:11.7,6766,12,93,12.75375
05:11.8,6021,9,93,12.443
05:11.9,6091,12,93,14.67325
05:12.0,5839,12,93,20.97075
05:12.1,5458,14,93,18.05575
05:12.2,5281,19,93,20.165
05:12.3,5301,14,93,20.90475
05:12.4,5165,13,93,15.842
05:12.5,5025,13,93,15.963
05:12.6,5047,14,93,14.929
05:12.7,4758,17,93,14.566
05:12.8,4790,17,93,16.37825
05:12.9,4667,15,93,13.63925
05:13.0,4537,15,93,12.8885
05:13.1,4541,15,93,13.9335
05:13.2,4388,9,93,12.4705
05:13.3,4313,14,93,13.3835
05:13.4,4329,15,93,14.55225
05:13.5,4392,27,93,14.7145
05:13.6,5131,47,93,14.18925
05:13.7,5337,44,93,11.18075
05:13.8,4974,13,93,12.39075
05:13.9,4997,14,93,12.36325
05:14.0,4957,14,93,15.37175
05:14.1,5240,38,94,13.8675
05:14.2,5835,54,94,11.02125
05:14.3,6007,51,94,9.71775
05:14.4,6345,50,94,12.74
05:14.5,6715,50,94,10.60325
05:14.6,7485,26,94,15.27825
05:14.7,7637,34,94,18.56725
05:14.8,7891,38,94,17.07675
05:14.9,8281,41,94,17.6955
05:15.0,8270,32,94,17.789
05:15.1,7261,10,94,16.337
